Transaction_ID,Transaction_date,Telco,Device_ID,Amount,Currency,Country,Bag_Size,Quantity,Mass
MP220503.1611.J74190,2022/05/03 16:11,AIRTEL,310038013,45,ZMW,ZM,20,1,20
MP220503.1627.L22810,2022/05/03 16:27,AIRTEL,310052453,110,ZMW,ZM,50,1,50
MP220503.1628.J75485,2022/05/03 16:28,AIRTEL,310054739,45,ZMW,ZM,20,1,20
MP220503.1642.I93369,2022/05/03 16:42,AIRTEL,310037179,110,ZMW,ZM,50,1,50
MP220503.1703.L25219,2022/05/03 17:03,AIRTEL,310051286,90,ZMW,ZM,20,2,40
MP220503.2148.J02911,2022/05/03 21:48,AIRTEL,310056412,180,ZMW,ZM,20,4,80
MP220504.1015.H41190,2022/05/04 10:15,AIRTEL,310034004,110,ZMW,ZM,50,1,50
MP220504.1129.J20740,2022/05/04 11:29,AIRTEL,310034456,135,ZMW,ZM,20,3,60
MP220504.1155.K13377,2022/05/04 11:55,AIRTEL,310032847,90,ZMW,ZM,20,2,40
MP220504.1156.J21956,2022/05/04 11:56,AIRTEL,310033599,90,ZMW,ZM,20,2,40
MP220504.1201.J22201,2022/05/04 12:01,AIRTEL,310036718,110,ZMW,ZM,50,1,50
MP220504.1224.K14952,2022/05/04 12:24,AIRTEL,310052409,110,ZMW,ZM,50,1,50
MP220504.1413.H52255,2022/05/04 14:13,AIRTEL,310036046,220,ZMW,ZM,50,2,100
MP220504.1421.L79355,2022/05/04 14:21,AIRTEL,310056487,135,ZMW,ZM,20,3,60
MP220504.1504.H54524,2022/05/04 15:04,AIRTEL,310051589,450,ZMW,ZM,20,10,200
MP220504.1548.L83763,2022/05/04 15:48,AIRTEL,310033599,110,ZMW,ZM,50,1,50
2980341200,2022/05/05 09:07,MTN,310023598,130,ZMW,ZM,30,1,30
2980340638,2022/05/05 09:07,MTN,310056462,90,ZMW,ZM,20,2,40
MP220505.0919.J67868,2022/05/05 09:19,AIRTEL,310034881,180,ZMW,ZM,20,4,80
2980508308,2022/05/05 10:14,MTN,310018384,130,ZMW,ZM,30,1,30
MP220505.1018.H97292,2022/05/05 10:18,AIRTEL,310034777,220,ZMW,ZM,50,2,100
MP220505.1033.G79080,2022/05/05 10:33,AIRTEL,310050863,90,ZMW,ZM,20,2,40
2980573974,2022/05/05 10:40,MTN,310000217,130,ZMW,ZM,30,1,30
MP220505.1048.K65009,2022/05/05 10:48,AIRTEL,31003470,225,ZMW,ZM,20,5,100
2980595329,2022/05/05 10:49,MTN,310005649,130,ZMW,ZM,30,1,30
MP220505.1050.K65136,2022/05/05 10:50,AIRTEL,31003470,110,ZMW,ZM,50,1,50
MP220505.1102.G80183,2022/05/05 11:02,AIRTEL,31003470,135,ZMW,ZM,20,3,60
MP220505.1115.L25086,2022/05/05 11:15,AIRTEL,310055322,110,ZMW,ZM,50,1,50
MP220505.1310.J78103,2022/05/05 13:10,AIRTEL,310033075,60,ZMW,ZM,20,1,20
MP220505.1337.J79248,2022/05/05 13:37,AIRTEL,310050847,90,ZMW,ZM,20,2,40
MP220505.1339.G86741,2022/05/05 13:39,AIRTEL,310054707,110,ZMW,ZM,50,1,50
MP220505.1340.I98519,2022/05/05 13:40,AIRTEL,310054707,45,ZMW,ZM,20,1,20
2980988724,2022/05/05 13:40,MTN,310014179,130,ZMW,ZM,30,1,30
2981079521,2022/05/05 14:18,MTN,310017663,130,ZMW,ZM,30,1,30
MP220505.1424.K75275,2022/05/05 14:24,AIRTEL,310008790,130,ZMW,ZM,30,1,30
2981168644,2022/05/05 14:53,MTN,310017717,130,ZMW,ZM,30,1,30
MP220505.1526.I03195,2022/05/05 15:26,AIRTEL,310034617,90,ZMW,ZM,20,2,40
2981260838,2022/05/05 15:26,MTN,310020730,130,ZMW,ZM,30,1,30
2981363794,2022/05/05 16:00,MTN,310029076,130,ZMW,ZM,30,1,30
MP220505.1630.L40610,2022/05/05 16:30,AIRTEL,310037757,450,ZMW,ZM,20,10,200
2981544688,2022/05/05 16:54,MTN,310016884,130,ZMW,ZM,30,1,30
MP220505.1728.G97979,2022/05/05 17:28,AIRTEL,310002783,130,ZMW,ZM,30,1,30
MP220505.1745.H18870,2022/05/05 17:45,AIRTEL,310020991,130,ZMW,ZM,30,1,30
MP220505.1814.K87091,2022/05/05 18:14,AIRTEL,310037158,45,ZMW,ZM,20,1,20
MP220505.1827.G01603,2022/05/05 18:27,AIRTEL,310003517,130,ZMW,ZM,30,1,30
MP220505.1957.J01610,2022/05/05 19:57,AIRTEL,310017006,130,ZMW,ZM,30,1,30
MP220506.0915.L74063,2022/05/06 09:15,AIRTEL,310050938,45,ZMW,ZM,20,1,20
2982699794,2022/05/06 09:38,MTN,310020877,130,ZMW,ZM,30,1,30
2982752501,2022/05/06 09:59,MTN,310002769,130,ZMW,ZM,30,1,30
MP220506.1007.I41803,2022/05/06 10:07,AIRTEL,310032447,135,ZMW,ZM,20,3,60
MP220506.1015.G27353,2022/05/06 10:15,AIRTEL,310034098,45,ZMW,ZM,20,1,20
MP220506.1028.J23536,2022/05/06 10:28,AIRTEL,310051232,110,ZMW,ZM,50,1,50
2982850659,2022/05/06 10:37,MTN,310003148,130,ZMW,ZM,30,1,30
MP220506.1048.G28978,2022/05/06 10:48,AIRTEL,310032638,45,ZMW,ZM,20,1,20
2982952463,2022/05/06 11:19,MTN,310020782,130,ZMW,ZM,30,1,30
MP220506.1126.L79978,2022/05/06 11:26,AIRTEL,310033425,45,ZMW,ZM,20,1,20
MP220506.1126.J26244,2022/05/06 11:26,AIRTEL,310052940,110,ZMW,ZM,50,1,50
MP220506.1143.H52016,2022/05/06 11:43,AIRTEL,310052877,110,ZMW,ZM,50,1,50
MP220506.1213.J28340,2022/05/06 12:13,AIRTEL,310037777,90,ZMW,ZM,20,2,40
MP220506.1214.G32814,2022/05/06 12:14,AIRTEL,310037777,110,ZMW,ZM,50,1,50
MP220506.1223.I48021,2022/05/06 12:23,AIRTEL,310029212,90,ZMW,ZM,20,2,40
MP220506.1322.J31496,2022/05/06 13:22,AIRTEL,310018024,135,ZMW,ZM,20,3,60
MP220506.1359.K25217,2022/05/06 13:59,AIRTEL,310036902,110,ZMW,ZM,50,1,50
2983345297,2022/05/06 14:02,MTN,310001063,130,ZMW,ZM,30,1,30
MP220506.1412.K25857,2022/05/06 14:12,AIRTEL,310023109,130,ZMW,ZM,30,1,30
MP220506.1437.G39027,2022/05/06 14:37,AIRTEL,310056488,220,ZMW,ZM,50,2,100
MP220506.1443.L89462,2022/05/06 14:43,AIRTEL,310038116,45,ZMW,ZM,20,1,20
MP220506.1444.L89529,2022/05/06 14:44,AIRTEL,310038116,20,ZMW,ZM,5,1,5
MP220506.1451.K27700,2022/05/06 14:51,AIRTEL,310056488,45,ZMW,ZM,20,1,20
MP220506.1455.H60584,2022/05/06 14:55,AIRTEL,310054012,90,ZMW,ZM,20,2,40
MP220506.1456.G39957,2022/05/06 14:56,AIRTEL,310033431,110,ZMW,ZM,50,1,50
MP220506.1458.G40033,2022/05/06 14:58,AIRTEL,310036080,330,ZMW,ZM,50,3,150
MP220506.1459.I55522,2022/05/06 14:59,AIRTEL,310052409,270,ZMW,ZM,20,6,120
MP220506.1511.K28764,2022/05/06 15:11,AIRTEL,310033549,91,ZMW,ZM,50,1,50
MP220506.1527.H61872,2022/05/06 15:27,AIRTEL,310021805,130,ZMW,ZM,30,1,30
MP220506.1600.H63367,2022/05/06 16:00,AIRTEL,310054538,45,ZMW,ZM,20,1,20
MP220506.1635.H64926,2022/05/06 16:35,AIRTEL,310054159,220,ZMW,ZM,50,2,100
MP220506.1646.I60356,2022/05/06 16:46,AIRTEL,310005712,110,ZMW,ZM,50,1,50
2983962993,2022/05/06 17:28,MTN,310001049,130,ZMW,ZM,30,1,30
MP220506.1955.G57598,2022/05/06 19:55,AIRTEL,310013229,130,ZMW,ZM,30,1,30
MP220507.0814.L00863,2022/05/07 08:14,AIRTEL,310032783,90,ZMW,ZM,20,2,40
