CRM_Transaction_IDs,Transaction_Amount,Addon_Value,Date,Wallet_Operator,Size,Quatity,Total_Kgs,Device_ID,UID-Connected,isNFT,isBetterCooking,Repossesed_Device_IDs,isClaimed
MP220519.0959.J09658,130.00,130.00,5/19/22,Airtel,30,1,30,310000545,820091851,No,No,820091851,
MP220519.1025.I09759,130.00,130.00,5/19/22,Airtel,30,1,30,,,No,No,820091866,
MP220519.1048.H02684,130.00,130.00,5/19/22,Airtel,30,1,30,310023068,820092116,Yes,No,820092116,
MP220519.1106.J12396,130.00,130.00,5/19/22,Airtel,30,1,30,310022158,820091796,Yes,No,820091796,
MP220519.1129.G12928,130.00,130.00,5/19/22,Airtel,30,1,30,310001189,820091865,No,No,820091865,
MP220519.1159.L15851,130.00,130.00,5/19/22,Airtel,30,1,30,,,No,No,820091860,
MP220519.1203.H05294,130.00,130.00,5/19/22,Airtel,30,1,30,310000012,820091442,No,No,820091442,
MP220519.1231.J16474,130.00,130.00,5/19/22,Airtel,30,1,30,310023055,820091500,Yes,No,820091500,
MP220519.1327.J19015,10.00,130.00,5/19/22,Airtel,30,1,30,310017742,820091964,No,No,820091964,
MP220519.1333.J19359,130.00,130.00,5/19/22,Airtel,30,1,30,310013944,820091508,No,No,820091508,
MP220519.1340.J19711,130.00,130.00,5/19/22,Airtel,30,1,30,,,No,No,820092119,
MP220519.1359.I17900,130.00,130.00,5/19/22,Airtel,30,1,30,,,No,No,820092112,
MP220519.1422.L22782,130.00,130.00,5/19/22,Airtel,30,1,30,,,No,No,820091543,
MP220519.1437.I19457,130.00,130.00,5/19/22,Airtel,30,1,30,310029369,820091501,Yes,No,820091501,
MP220519.1535.J24122,130.00,130.00,5/19/22,Airtel,30,1,30,310025390,820091466,Yes,No,820091466,
3018773169,130.00,130.00,5/23/22,MTN,30,1,30,,,No,No,820091795,No
MP220524.1246.L17391,130.00,130.00,5/24/22,Airtel,30,1,30,310002884,820091396,Yes,No,820091396,
MP220524.1501.K20630,130.00,130.00,5/24/22,Airtel,30,1,30,,820050680,Yes,No,,
MP220526.1035.L32646,130.00,130.00,5/26/22,Airtel,30,1,30,,820050643,Yes,No,,
3028818696,130.00,130.00,5/27/22,MTN,30,1,30,310022915,820091446,No,No,820091446,No
3028836904,130.00,130.00,5/27/22,MTN,30,1,30,310022741,820091542,No,No,820091542,No
3028855632,130.00,130.00,5/27/22,MTN,30,1,30,310020921,820091855,No,No,820091855,No
3029035901,130.00,130.00,5/27/22,MTN,30,1,30,,,No,No,820092444,No
MP220527.1256.H16937,130.00,130.00,5/27/22,Airtel,30,1,30,310001845,820091472,No,No,820091472,No
MP220527.1336.K17873,130.00,130.00,5/27/22,Airtel,30,1,30,310002108,820092385,Yes,No,820092385,Yes
MP220527.1346.J18267,130.00,130.00,5/27/22,Airtel,30,1,30,310030266,820091469,Yes,No,820091469,Yes
MP220527.1352.I18242,130.00,130.00,5/27/22,Airtel,30,1,30,,,No,No,820091470,No
MP220527.1405.I18871,130.00,130.00,5/27/22,Airtel,30,1,30,,,No,No,820092459,No
3029324252,130.00,130.00,5/27/22,MTN,30,1,30,,,No,No,820091545,No
MP220527.1412.K19456,130.00,130.00,5/27/22,Airtel,30,1,30,310022819,820091853,No,No,820091853,No
3029331679,130.00,130.00,5/27/22,MTN,30,1,30,310003633,820091460,Yes,No,820091460,Yes
3029425877,130.00,130.00,5/27/22,MTN,30,1,30,310009369,820092030,Yes,No,820092030,Yes
